TradingDay,TMT,一带一路,中药,交通运输,传媒,光伏,养殖,农业综合,医疗,医药,医药医疗,半导体,国央企综合,国防军工,基建,基础化工,央企创新,家用电器,房地产,新能源汽车,新能源综合,旅游,有色,机械设备,汽车,游戏,生物科技,电力,电子,石油石化,绿色/ESG,计算机,通信,金融综合,钢铁煤炭,银行,非银,食品饮料
2015-02-27,,,,,,,,,,,-0.03899007443297614,,,,,,,,,,,,,,,,,,,,,,,-0.3795294801365965,,,,-0.006469717937030778
2015-03-06,,,,,,,,,,,0.21101474493550001,,,,,,,,,,,,,,,,,,,,,,,-0.0020772852923218715,,,,0.08900252460143701
2015-03-13,,,,,,,,,,,-0.8255290926467792,,,,,,,,,,,,,,,,,,,,,,,0.8372835449943936,,,,0.04929519096318284
2015-03-20,,,,,,,,,,,-0.04705614405162864,,,,,,,,,,,,,,,,,,,,,,,0.0073103969131297795,,,,0.1426280887783662
2015-03-27,,,,,,,,,,,-0.02355189130836123,,,,,,,,,,,,,,,,,,,,,,,-0.8669299856076808,,,,-0.0020445221589277113
2015-04-03,,,,,,,,,,,0.00040666677502312486,,,,,,,,,,,,,,,,,,,,,,,-0.3354748116538307,,,,-0.4655073675654968
2015-04-10,,,,,,,,,,,0.012872011144810966,,,,,,,,,,,,,,,,,,,,,,,0.046297445789699215,,,,0.16426011227986445
2015-04-17,,,,,,,,,,,-0.02699680671299956,,,,,,,,,,,,,,,,,,,,,,,0.0060973840008923565,,,,0.6214611779859496
2015-04-24,,,,,,,,,,,0.2776179320127298,,,,,,,,,,,,,,,,,,,,,,,0.6896401607650586,,,,0.14521246837502988
2015-04-30,,,,,,,,,,,-0.011827226986704232,,,,,,,,,,,,,,,,,,,,,,,0.02094717045781489,,,,-0.0033759950846857165
2015-05-08,,,,,,,,,,,1.2973141756079545,,,,,,,,,,,,,,,,,,,,,,,-0.023078912822273763,,,,0.14522410802651106
2015-05-15,,,,,,,,,,,-0.010021427264731774,,-0.0007970110050722276,,,,,,,,,,,,,,,,,,,,,-0.27195922862446176,,,-0.23171505874062098,0.021481526533680514
2015-05-22,-0.037593685060517974,,,,,,,,,,-0.6633394142623428,,-0.02540735749785041,,,,,,,,,,,,,,,,,,,,,-0.21177107151177554,,,0.04493994092289026,-0.03356736773221219
2015-05-29,-0.2080786532320157,,,,,,,,,,-0.027538081267746314,,-0.36042082632749595,,,,,,,,,,,,,,,,,,,,,-1.2162398732718551,,,-0.14244966732624753,0.011645458300875846
2015-06-05,0.003763162605600492,,,,,,,,,,-0.2858125013529965,,-0.0009006407559129916,,,,,,,,,,,,,,,,,,,,,-0.08653730266505567,,,0.03874254299659201,0.03685900948565221
2015-06-12,-0.8935102278357024,,,,,,,,,,-0.020743143228453706,,-0.0007042660934704684,,,,,,,,,,,,,,,,,,,,,-0.3113575618596848,,,-3.722369396727692e-05,-0.00028423356682329756
2015-06-19,-0.04767400004787076,,,,,,,,,,-0.006174953445602309,,0.04792499135260106,,,,,,,,,,,,,,,,,,,,,0.43077724193363576,,,-2.2157102874225036e-05,0.00825569437882595
2015-06-26,0.05048331685968392,,,,,,,,,,2.263002086551289,,-0.1533897370998729,,,,,,,,,,,,,,,,,,,,,-0.316453943389762,,,-4.925097689545309e-05,-1.2648913631510563
2015-07-03,-0.007106205691201925,,,,,,,,,,-0.0188732185253963,,-0.0004347896157636541,,,,,,,,,,,,,,,,,,,,,0.76387028037051,,,-4.273459487314758e-05,0.03831270962946781
2015-07-10,0.1138558592084978,,,,,,,,,,-0.1005390310105963,,0.013956503671114964,,,,,,,,,,,,,,,,,,,,,-0.24804326630312618,,,0.39675478717949125,0.010529277566853614
2015-07-17,1.021550623695739,,,,,,,,,,-0.2452395952810072,,-0.012761066852381561,,,,,,,,,,,,,,,,,,,,,-1.1636425990276325,,,-0.3763064673724737,-0.012571414282542982
2015-07-24,0.5106753327909939,,,,,,,,,,-0.013202517522990431,,-0.0005863280143605588,,,,,,,,,,,,,,,,,,,,,-0.3906607527866153,,,0.038209701536730915,0.009530955144743374
2015-07-31,0.1780975744934796,,,,,,,,,,-0.05518961485146073,,0.005914168746956732,,,,,,,,,,,,,,,,,,,,,2.3268366062048145,,,-0.9110741866652943,0.03980478766916867
2015-08-07,-0.01465536070962447,,,,,,,,,,0.003461036376456495,,-0.010621554194647834,,,,,,,,,,,,,,,,,,,,,-0.059629203981395075,,,0.068765418280021,0.003186715997339464
