TradingDay,TMT,一带一路,传媒,农业综合,医疗,医药,医药医疗,国企改革,国央企综合,国防军工,基建,基础化工,央企创新,家用电器,房地产,新能源汽车,有色,机械设备,汽车,电力,电子,绿色/ESG,计算机,通信,金融综合,钢铁煤炭,银行,非银,食品饮料
2015-06-19,7.559088210419018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-26,0.3364442473535386,,,,,-0.23461377828978142,,,,,,,,,,,,,,,,,,,-0.01564610725676046,,,,
2015-07-03,0.13347504651068193,,,,,-17.514586149010185,,,,,,,,,,,,,,,,,,,-0.026330719727101375,,,,
2015-07-10,-4.452268926610223,,,,,-0.16600418195824226,,,,,,,,,,,,,,,,,,,-11.98018402776845,,,,
2015-07-17,0.4368779985873216,,,,,-4.074237930288743,,,,,,,,,,,,,,,,,,,0.009681629521214248,,,,
2015-07-24,0.1361854955990749,,,,,-4.437192043325404,,,,,,,,,,,,,,,,,,,-0.35756420582003756,,,,
2015-07-31,8.939869109192072,,,,,-5.7003159447328455,,,,,,,,,,,,,,,,,,,-0.5237419719976344,,,,
2015-08-07,8.253181797928738,,,,,0.4694272313000453,,,,,,,,,,,,,,,,,,,-7.9162452404340975,,,,
2015-08-14,-5.014186878785502,,,,,28.238840784779153,,,,,,,,,,,,,,,,,,,-1.5166373502302737,,,,
2015-08-21,0.14691899010483112,,,,,-1.7225345038787223,,,,,,,,,,,,,,,,,,,-0.31649927654757826,,,,
2015-08-28,0.019871741207520027,,,,,-11.059588716753474,,,,,,,,,,,,,,,,,,,,,,,
2015-09-02,-0.23225117016521382,,,,,-0.19926651036691231,,,,,,,,,,,,,,,,,,,,,,,
2015-09-11,0.08971231927990381,,,,,-1.0288570451625105,,,,,,,,,,,,,,,,,,,,,,,
2015-09-18,-0.01541432496878059,,,,,-1.7624062815901866,-11.833806612178204,,,,,,,,,,,,,,,,,,,,,,
2015-09-25,0.03476390469208167,,,,,-0.23851848855284322,-0.07376696774049396,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,-0.27922780409868275,,,,,-4.512372900379968,-4.515051998619146,,,,,,,,,,,,,,,,,,,,,,
2015-10-09,9.442137462841291,,,,,-8.662621596449869,-2.5877825054708725,,,,,,,,,,,,,,,,,,,,,,
2015-10-16,0.5024341052283448,,,,,-16.09650400228327,-0.9775507500026831,,,,,,,,,,,,,,,,,,,,,,
2015-10-23,7.659270356248256,,,,,-0.4992439410122243,-0.7216435870582247,,,,,,,,,,,,,,,,,,,,,,
2015-10-30,-4.915733373548431,,,,,-0.10648920191848568,-0.11938975396662871,,,,,,,,,,,,,,,,,,,,,,
2015-11-06,10.666717643764528,,,,,-5.525565868489839,-5.129392082461532,,,,,,,,,,,,,,,,,,,,,,
2015-11-13,0.16836192769839672,,,,,-0.6238161785282427,-5.122458507516434,,,,,,,,,,,,,,,,,,,,,,
