TradingDay,TMT,一带一路,中药,交通运输,传媒,光伏,养殖,农业综合,医疗,医药,医药医疗,半导体,国企改革,国央企综合,国防军工,基建,基础化工,央企创新,家用电器,房地产,新能源汽车,新能源综合,旅游,有色,机械设备,汽车,游戏,生物科技,电力,电子,石油石化,种植,绿色/ESG,计算机,通信,金融综合,钢铁煤炭,银行,非银,食品饮料
2015-02-27,-0.016336772982051145,,,,,,,,,-0.007477972533531253,0.07624906436359538,,,-0.18013382914785253,,,,,,,,,,,,,,,,,,,-2.3203237120509574,,,1.1068462528872127,,,0.01857779818242554,-0.13027254266727883
2015-03-06,-1.5341368784772549,,,,,,,,,0.0004090361965928333,-0.8060536153240837,,,3.3610023161704636,,,,,,,,,,,,,,,,,,,0.017980001927257554,,,-0.11234382406849569,,,0.7568192139134354,-0.008134229894840497
2015-03-13,-0.20818751693052442,,,,,,,,,0.024840127971431678,0.06040610716068243,,,-0.007603912803981508,,,,,,,,,,,,,,,,,,,-0.07295378101614405,,,0.17749548307417806,,,0.23635794456097659,-0.12251467621347317
2015-03-20,-0.4371634462550517,,,,,,,,,0.27796662232425284,0.2586822983507684,,,0.07411452331281376,,,,,,,,,,,,,,,,,,,0.007419661273979729,,,0.13141232980333356,,,-0.007267379160537685,-0.0353731144960557
2015-03-27,0.2025192461642144,,,,,,,,,-0.012249145945762874,-1.108004951301861,,,0.03126059900312038,,,,,,,,,,,,,,,,,,,0.03271264246643728,,,0.6040011346763601,,,0.4309588955930328,-0.0008266165351046078
2015-04-03,-0.6174944380295179,,,,,,,,,-0.004705370210481409,0.6143955082025122,,,-0.2987691572945525,,,,,,,,,,,,,,,,0.09310858212475517,,,-1.4358746367085988,,,-0.5933489769441859,,,0.06848547784409165,0.06274515038442868
2015-04-10,-0.7300827282155118,,,,,,,,,-0.08960719270264272,-0.01764843656931344,,,0.007869536487743477,,,,,,,,,,,,,,,,0.05362078503985939,,,0.006564887219192239,,,-0.48152865348155094,,,-0.14392459129989865,-0.07154580719746172
2015-04-17,-0.021232576497505602,,,,,,,,,-0.011224936871861314,-0.366787422386822,,,-0.01014760544850981,,,,,,,,,,,,,,,,-1.4718073396664462,,,-0.003656412174241886,,,-7.326443718240778,,,0.028340779391571324,-1.5207475008515323
2015-04-24,0.04652031389493642,,,,,,,,,0.03830421886812225,-0.16225500341055868,,,-0.012983738025748872,,,,,,,,,,,,,,,,0.0004131607394515018,,,-0.05921793362833952,,,0.4091124916300218,,,0.001720444263793761,0.015096503426965101
2015-04-30,0.05326875631440192,,,,,,,,,0.016354840996353433,0.10195497013689564,,,0.5376067790959096,,,,,,,,,,,,,,,,0.011602344923948394,,,-0.007191945280161984,,,0.23994764305265184,,,0.08687803595667651,0.1298030606226595
2015-05-08,-3.069715740264295,,,,,,,,,0.0003707543003582617,0.005627592381903239,,,0.0049806896109456655,,,,,,,,,,,,,,,,-0.017939841438933308,,,0.018965715292844295,,,0.08562232770765205,,,-0.00596017776943983,0.8305424589354589
2015-05-15,0.040747805293284756,,,,,,,,,0.010826770162400483,-1.6701586334311973,,,0.00037079416452601654,,,,,,,,,,,,,,,,0.05061134123335565,,,-0.09358878654329258,,,-0.1709482826371994,,,-0.004764933417602585,-0.05456424240754961
