TradingDay,TMT,一带一路,交通运输,传媒,农业综合,医疗,医药,医药医疗,国企改革,国央企综合,国防军工,基建,基础化工,央企创新,家用电器,房地产,新能源汽车,有色,机械设备,汽车,电力,电子,绿色/ESG,计算机,通信,金融综合,钢铁煤炭,银行,非银,食品饮料
2015-05-29,0.4006365275524262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-05,0.0037697845740643715,,,,,,-0.12185339179377233,,,,,,,,,,,,,,,,,,,0.30195141972942086,,,,
2015-06-12,0.10076851364332655,,,,,,0.5161505756107445,,,,,,,,,,,,,,,,,,,0.00255641487831133,,,,
2015-06-19,-0.12061940428345166,,,,,,-0.07688321162414417,,,,,,,,,,,,,,,,,,,0.019174174429816573,,,,
2015-06-26,0.013710505302778073,,,,,,-0.3095720173629145,,,,,,,,,,,,,,,,,,,0.7092068014692027,,,,
2015-07-03,-0.0005385434060274042,,,,,,-0.02066897239688569,,,,,,,,,,,,,,,,,,,0.003790393136900596,,,,
2015-07-10,-0.00010000818116671181,,,,,,0.016798863559861623,,,,,,,,,,,,,,,,,,,0.09671301763718004,,,,
2015-07-17,-0.0004927844388783649,,,,,,-0.01300513021897797,,,,,,,,,,,,,,,,,,,0.030047405489509467,,,,
2015-07-24,-0.005894170026540133,,,,,,-0.008881781959931882,,,,,,,,,,,,,,,,,,,0.0030594036782627845,,,,
2015-07-31,0.19890951249829786,,,,,,-0.037420089524655725,,,,,,,,,,,,,,,,,,,-0.01767897881350703,,,,
2015-08-07,-0.036079658433517174,,,,,,-0.13869698678998182,,,,,,,,,,,,,,,,,,,0.0006595545763007487,,,,
2015-08-14,0.02159214301832079,,,,,,0.01165479211148705,,,,,,,,,,,,,,,,,,,-0.1489513443267581,,,,
2015-08-21,-0.00014204819589221692,,,,,,0.023052796956545808,,,,,,,,,,,,,,,,,,,0.19214548618267704,,,,
2015-08-28,-0.165291345791094,,,,,,-0.10894286018630732,-2.148043485357117,,,,,,,,,,,,,,,,,,,,,,
2015-09-02,0.002961888204450939,,,,,,-0.0023642023377365203,0.0005621659319927572,,,,,,,,,,,,,,,,,,,,,,
2015-09-11,0.015935269352132492,,,,,,-0.0882060355717427,-0.21341165411175608,,,,,,,,,,,,,,,,,,,,,,
2015-09-18,0.024206251973721785,,,,,,0.05669930415288091,-0.7289231961276261,,,,,,,,,,,,,,,,,,,,,,
2015-09-25,0.2733821999744845,,,,,,-0.01913255550659127,-0.019268325522053476,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,0.25104367665457505,,,,,,-0.003992247450917291,-0.5662457660715751,,,,,,,,,,,,,,,,,,,,,,
2015-10-09,0.07667002294864664,,,,,,-0.0007405857467631024,-0.018945023720683764,,,,,,,,,,,,,,,,,,,,,,
2015-10-16,0.0212031859305745,,,,,,0.051088688183444475,-1.0440577758809395,,,,,,,,,,,,,,,,,,,,,,
2015-10-23,0.006053278064959905,,,,,,0.21768863748389994,-0.2575543587218929,,,,,,,,,,,,,,,,,,,,,,
2015-10-30,0.01704315935497698,,,,,,-0.9162568597875933,2.4410075716473623,,,,,,,,,,,,,,,,,,,,,,
2015-11-06,-0.009838114198146137,,,,,,0.03739965187018951,-0.029800872860817392,,,,,,,,,,,,,,,,,,,,,,
2015-11-13,-0.0018226553513789544,,,,,,0.021689250424102878,-0.8808252711942675,,,,,,,,,,,,,,,,,,,,,,
