TradingDay,TMT,一带一路,传媒,农业综合,医疗,医药,医药医疗,国企改革,国央企综合,国防军工,基建,基础化工,央企创新,家用电器,房地产,新能源汽车,有色,机械设备,汽车,电力,电子,绿色/ESG,计算机,通信,金融综合,钢铁煤炭,银行,非银,食品饮料
2015-06-12,-1.7826500962555393e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-19,-0.058091296452975574,,,,,0.7913458178772143,,,,,,,,,,,,,,,,,,,0.028201006371197997,,,,
2015-06-26,-1.0032274138584972e-05,,,,,0.025741575109033292,,,,,,,,,,,,,,,,,,,-0.24138331302893629,,,,
2015-07-03,-0.043828112285966794,,,,,-0.0009478784314952022,,,,,,,,,,,,,,,,,,,0.005191623354463431,,,,
2015-07-10,0.3374470599500045,,,,,-0.0014746547349259922,,,,,,,,,,,,,,,,,,,0.004169464876416755,,,,
2015-07-17,-0.0009535073919795193,,,,,-0.04467750943900882,,,,,,,,,,,,,,,,,,,0.19986846498814795,,,,
2015-07-24,0.04197158896803796,,,,,-0.24046770187309693,,,,,,,,,,,,,,,,,,,0.11930937992579829,,,,
2015-07-31,0.08318195188797325,,,,,0.44785417030468927,,,,,,,,,,,,,,,,,,,-0.12034641206958421,,,,
2015-08-07,0.36528267421649585,,,,,0.23659682445141356,,,,,,,,,,,,,,,,,,,-0.1762671062255313,,,,
2015-08-14,-0.0008828424590514926,,,,,0.016777753934256408,,,,,,,,,,,,,,,,,,,-0.15299198036846212,,,,
2015-08-21,-0.03909535557938433,,,,,-0.09241080458892983,,,,,,,,,,,,,,,,,,,-0.005204134485184917,,,,
2015-08-28,-0.0006692290479513977,,,,,-0.0032807489973558156,,,,,,,,,,,,,,,,,,,,,,,
2015-09-02,-0.0035886633166396942,,,,,-0.013822217404436721,,,,,,,,,,,,,,,,,,,,,,,
2015-09-11,0.002466994559771878,,,,,0.018590442738955996,-0.46827470411937855,,,,,,,,,,,,,,,,,,,,,,
2015-09-18,-0.05319888968230245,,,,,-0.08173020793841491,0.0502905653672024,,,,,,,,,,,,,,,,,,,,,,
2015-09-25,0.0004334319497723165,,,,,-0.07242126925629,0.020271659428763224,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,0.000305155167117685,,,,,0.01203864381386558,-0.07814439328445474,,,,,,,,,,,,,,,,,,,,,,
