TradingDay,TMT,一带一路,交通运输,传媒,农业综合,医疗,医药,医药医疗,国企改革,国央企综合,国防军工,基建,基础化工,央企创新,家用电器,房地产,新能源汽车,有色,机械设备,汽车,生物科技,电力,电子,石油石化,绿色/ESG,计算机,通信,金融综合,钢铁煤炭,银行,非银,食品饮料
2015-03-06,0.06588207463795247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-13,-0.002632814041885556,,,,,,0.0012256617774332056,,,,,,,,,,,,,,,,,,,,,0.41025638076223236,,,,
2015-03-20,-0.006288903498204143,,,,,,0.04822963343230266,,,,,,,,,,,,,,,,,,,,,-0.5626374588127068,,,,
2015-03-27,0.11794418631164046,,,,,,-0.13518352927233707,,,,,,,,,,,,,,,,,,,,,0.6631336575436572,,,,
2015-04-03,0.11016830350547749,,,,,,0.01258670062881065,,,,,,,,,,,,,,,,,,,,,-0.03459498605693948,,,,
2015-04-10,-0.011262009347561747,,,,,,0.0014662244178882836,,,,,,,,,,,,,,,,,,,,,-0.020547227045033985,,,,
2015-04-17,-0.0010203116235982445,,,,,,0.0036325157691027266,,,,,,,,,,,,,,,,,,,,,-0.0003848557045235502,,,,
2015-04-24,-0.00107921539346689,,,,,,0.5597461128836299,,,,,,,,,,,,,,,,,,,,,-0.01629934988560006,,,,
2015-04-30,-0.0180976657115028,,,,,,0.013576597676190967,,,,,,,,,,,,,,,,,,,,,-0.0013709515934296136,,,,
2015-05-08,-0.000385832700630898,,,,,,0.02385398103899377,,,,,,,,,,,,,,,,,,,,,-9.715865944865967e-05,,,,
2015-05-15,-0.00016085965969845205,,,,,,0.22680915717207728,,,,,,,,,,,,,,,,,,,,,0.16929127721233483,,,,
2015-05-22,-0.00021020099358981845,,,,,,-0.2408245756772457,,,,,,,,,,,,,,,,,,,,,-0.00022691449922426912,,,,
2015-05-29,0.0001037451754170035,,,,,,0.4326437776379071,,,,,,,,,,,,,,,,,,,,,0.05709805536749965,,,,
2015-06-05,-0.004523886705918259,,,,,,0.10424718713690835,0.6962475200158994,,,,,,,,,,,,,,,,,,,,-1.0775129427701495,,,,
2015-06-12,-0.017406501000818787,,,,,,0.0008925758463087692,0.06521964009157893,,,,,,,,,,,,,,,,,,,,-0.011327104161622841,,,,
2015-06-19,0.06339068994530832,,,,,,0.021067656250033373,0.10605975041545442,,,,,,,,,,,,,,,,,,,,-9.763374158028543e-05,,,,
2015-06-26,7.866022862708182e-05,,,,,,0.21085392433370598,-0.012858439658067551,,,,,,,,,,,,,,,,,,,,-0.006163521983533958,,,,
2015-07-03,0.0055192193419576555,,,,,,0.09329385107190502,0.17152458439253856,,,,,,,,,,,,,,,,,,,,0.009879331368530005,,,,
2015-07-10,0.0024566030635646626,,,,,,0.020438766821161906,0.00161703293172194,,,,,,,,,,,,,,,,,,,,-0.0005683145833811196,,,,
2015-07-17,0.008152808813987255,,,,,,0.02022388310607023,0.012700677406109155,,,,,,,,,,,,,,,,,,,,-0.07188039204324206,,,,
2015-07-24,0.0005082501607589666,,,,,,0.004982264003944038,-0.6886397166252692,,,,,,,,,,,,,,,,,,,,0.011475509997678043,,,,
2015-07-31,-0.02854822059537108,,,,,,0.21303855135040506,0.3045007576962817,,,,,,,,,,,,,,,,,,,,0.37235721598438704,,,,
2015-08-07,-0.019203973110775697,,,,,,0.30455082271462514,0.04109873751642691,,,,,,,,,,,,,,,,,,,,-0.013394424175867356,,,,
2015-08-14,-0.03258614705784514,,,,,,0.0007362195450631192,-0.31873681064452,,,,,,,,,,,,,,,,,,,,-0.0007203602289230031,,,,
2015-08-21,-0.0002236450155822365,,,,,,0.24577738786939893,0.09270842772675071,,,,,,,,,,,,,,,,,,,,0.030275956214618892,,,,
2015-08-28,0.6989296665968462,,,,,,0.0072508086412628354,0.32052416366616027,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-02,0.1559540979904006,,,,,,0.036462805231151654,0.0013192741351845314,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-11,-0.000535544150242281,,,,,,-0.4837183395582273,0.004329946354203257,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-18,0.010579494812838371,,,,,,0.021145943191361496,0.004352133219161962,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-25,0.10220182338759637,,,,,,-0.5427244915175091,0.0009733705803578988,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,-0.03602437046059528,,,,,,0.026350352494255394,0.08460337867736387,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-09,0.004568694754151117,,,,,,0.024643159451984087,1.1395059567599156e-05,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-16,-0.007886192488473167,,,,,,0.0020836413056212017,0.0002933340822167209,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-23,-0.23377149734864217,,,,,,0.21255901277672,0.000645214220926337,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-30,-0.1067810813606592,,,,,,-0.016408447943870974,0.09965701004939466,,,,,,,,,,,,,,,,,,,,0.006556323772274517,,,,-0.003589199189271816
2015-11-06,0.1011317405512989,,,,,,-0.29812424564277745,-4.616016858217481,,,,,,,,,,,,,,,,,,,,0.07515668609229684,,,,-0.45905120988440884
2015-11-13,-0.1038305351422803,,,,,,0.1169073979343313,0.2099934997917251,,,,,,,,,,,,,,,,,,,,0.014132144337120242,,,,-0.9907547627049503
2015-11-20,0.008525974446154527,,,,,,0.054211373066066035,0.10859656217170213,,,,,,,,,,,,,,,,,,,,0.001545987267048147,,,,-0.03627226854887569
2015-11-27,-0.05861844068270305,,,,,,0.017465007555948146,-0.02744299842297529,,,,,,,,,,,,,,,,,,,,0.0019169621051810073,,,,-0.07094453241482211
2015-12-04,-0.03700257517541567,,,,,,0.24193234311407866,0.05139647330739105,,,,,,,,,,,,,,,,,,,,8.599594306123562e-05,,,,0.29602666578209963
2015-12-11,-0.2152739655475034,,,,,,0.09186290675687417,-0.17647057798573182,,,,,,,,,,,,,,,,,,,,0.008622260974823558,,,,-0.17006465092219034
2015-12-18,-0.09350069225612824,,,,,,0.011981995097315255,0.04595522998318402,,,,,,,,,,,,,,,,,,,,-0.1844858590678803,,,,-0.37597105157506105
2015-12-25,-1.3439651203997853,,,,,,-0.008149495698610055,-0.4051907919987592,,,,,,,,,,,,,,,,,,,,0.24186494856675061,,,,1.2924102743227364
2015-12-31,0.12322724123033993,,,,,,0.8126812423789548,1.1337627513870459,,,,,,,,,,,,,,,,,,,,0.002760943205841761,,,,-0.6451781281317766
2016-01-08,0.025170674261952585,,,,,,-0.014069518340677396,0.057134931784729656,,,,,,,,,,,,,,,,,,,,0.027055428631617515,,,,0.21945840998247135
2016-01-15,-0.017781642392955283,,,,,,-0.01185905905081255,-1.0026133945525555,,,,,,,,,,,,,,,,,,,,0.018619760359349383,,,,-0.004423599611019823
2016-01-22,-0.00030445025896972484,,,,,,-0.13893613633543608,0.3463978536049582,,,,,,,,,,,,,,,,,,,,-0.3673578512826571,,,,-0.15105955651821043
2016-01-29,1.3542723851843952,,,,,,-0.10586515396626264,-0.23428594494305058,,,,,,,,,,,,,,,,,,,,0.06199332874894979,,,,-0.0335496213619948
2016-02-05,0.022785276561876375,,,,,,-0.0010219689134923307,-0.1238014199516529,,,,,,,,,,,,,,,,,,,,0.02122453370685899,,,,0.10347880443591918
2016-02-19,-0.02806202808143741,,,,,,-0.05867384865430041,1.5433226030947345,,,,,,,,,,,,,,,,,,,,0.008360407592793273,,,,-0.1816577702488994
2016-02-26,-0.005487827771268092,,,,,,-0.006734061278506501,1.0567376328627665,,,,,,,,,,,,,,,,,,,,-0.10199746538289242,,,,-0.04701918065438373
2016-03-04,0.8878581587832733,,,,,,-0.00381644300356555,0.023934061316980892,,,,,,,,,,,,,,,,,,,,0.015455310415169496,,,,-0.00046907954428304725
2016-03-11,-0.10264799855277663,,,,,,0.010337556749808362,-0.13009795260570017,,,,,,,,,,,,,,,,,,,,0.009251280541344782,,,,-0.3076353449509353
2016-03-18,-0.009566738198295132,,,,,,-0.03064291696207727,-0.5740983121068156,,,,,,,,,,,,,,,,,,,,0.0503853560990416,,,,-0.03578146145293863
2016-03-25,-0.007303818732895843,,,,,,-0.0011901113009634453,-0.012438414210952872,,,,,,,,,,,,,,,,,,,,-0.021033585611473875,,,,-0.08497153868596877
2016-04-01,-0.02251650965106343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04202868780620272
2016-04-08,-0.011772680400356908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07888449196648567
2016-04-15,-0.09481210822348862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010423826283039138
2016-04-22,0.0326597518901192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010207574336966367
2016-04-29,0.04828868694369461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07744171807171643
2016-05-06,0.12583980620068672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00376991523392662
2016-05-13,0.11666316437077186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09173072608607309
2016-05-20,-0.002274102345247743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05571188157736415
2016-05-27,-0.0019719151395325082,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0013438222009335063,,,,0.007650450752912372
2016-06-03,0.06804569890488224,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15678836967604137,,,,-0.002483340704070469
2016-06-08,-0.1320122124328834,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014655752475341325,,,,-0.00040465133972731476
2016-06-17,0.011045955165002366,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0021376534253763693,,,,0.002886750093468244
2016-06-24,-0.05350251839248865,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.007408373414354631,,,,0.0004681793471088203
2016-07-01,-0.025786515782706243,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06358724614003698,,,,0.0017932330106500075
2016-07-08,0.4675862445307483,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.038185278423370994,,,,0.08440870220235551
2016-07-15,0.014682143641073248,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1826367818516184,,,,0.12113944467021456
2016-07-22,-0.27619871280094,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.41691631109601246,,,,0.02787693279990278
2016-07-29,-0.02538468010532608,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11091350442449646,,,,-0.10218994527526876
